1254,133,33
582,46,8
1194,84,21
191,133,23
1548,32,16
933,87,18
1318,64,18
689,33,12
907,141,14
1425,160,13
1027,133,13
729,1,13
1193,186,12
681,104,10
276,20,12
851,177,12
761,86,10
1090,3,9
970,73,11
1162,164,11
77,84,10
1458,115,11
1054,135,11
1529,172,11
146,185,8
1429,70,10
1056,11,8
816,179,10
1014,14,8
36,31,8
1436,15,9
392,120,9
1075,15,9
1150,102,9
314,147,8
1453,66,8
1133,30,8
212,1220,48
1523,301,21
515,363,56
1469,360,14
823,1301,34
233,91,13
944,1508,14
1400,378,20
1224,820,37
557,924,30
1058,176,28
1270,361,16
771,1269,19
776,309,29
518,1185,10
435,568,28
109,851,14
1003,386,24
215,885,21
1432,201,28
631,1422,16
60,1336,20
1408,262,10
671,359,11
1386,1339,27
1441,931,22
741,583,20
434,1165,19
814,1075,24
818,9,10
1013,148,19
1153,1611,19
695,346,19
639,255,19
1193,413,22
801,1582,16
1121,1599,18
538,1517,22
1570,206,22
698,511,21
595,181,14
978,1680,18
164,740,18
1161,410,20
231,496,12
570,1467,14
304,1470,16
1263,323,14
1538,428,19
1400,824,19
1309,1366,10
1070,1527,14
211,713,14
1459,1544,14
1462,1415,14
769,207,8
690,594,14
848,963,8
59,969,18
1214,343,14
1213,1324,13
1343,342,17
413,173,13
1324,953,13
1055,1223,17
1084,1128,14
1091,804,14
1133,963,13
1363,740,15
1540,211,17
464,944,18
651,45,14
184,635,17
232,415,17
1070,1621,14
1025,1029,14
898,1344,11
1236,1503,13
882,1216,13
365,165,13
1442,901,15
990,121,14
409,1269,14
666,1644,11
1104,71,16
779,1420,14
1185,942,8
945,1075,11
1188,1423,13
1185,1581,13
858,114,14
674,819,16
1304,357,10
31,516,17
189,1000,8
1195,1612,11
702,1416,16
279,299,13
1401,235,14
578,1384,15
232,656,13
87,394,14
1189,1043,15
606,300,13
1375,648,14
1124,771,15
1300,1579,11
1490,768,10
1490,851,13
1061,1357,15
830,258,10
630,1632,11
735,846,8
86,770,13
1056,478,15
834,627,14
219,1624,15
181,1599,13
1544,801,8
329,298,10
90,589,14
1240,1356,11
581,1658,12
1473,1621,13
1127,1547,13
562,750,11
604,51,14
720,1635,10
852,383,14
692,1619,14
823,1665,14
599,1210,9
992,918,14
1115,980,11
72,878,12
761,1671,10
1332,1671,14
174,892,14
984,177,14
1216,1078,14
1132,556,12
269,1154,10
451,527,12
77,628,13
1171,1478,8
407,209,13
970,37,10
123,721,12
1544,113,10
1416,486,10
368,232,11
439,1396,13
692,635,10
1041,893,9
554,1485,13
1119,1505,13
1318,325,11
494,543,13
563,1419,13
710,238,8
725,215,10
550,613,11
1402,113,13
799,1151,13
1197,1070,17
44,946,12
1219,951,11
1431,790,11
374,526,13
1085,169,9
1243,1240,10
934,202,13
419,1343,13
120,454,10
113,888,12
1484,1649,10
1193,1296,10
135,1264,12
1111,162,12
1355,1486,12
1162,1353,8
888,1318,12
738,1521,13
1015,713,12
87,1417,11
1168,1215,10
1118,1293,8
1124,1121,12
384,501,12
1035,1518,12
41,414,8
667,1444,12
703,94,12
634,1566,12
67,510,10
740,898,8
586,409,10
300,1196,12
434,1261,10
317,913,12
797,71,10
598,1669,11
759,813,10
1127,1353,11
573,822,10
681,200,11
1242,381,11
67,94,10
752,751,10
210,1361,11
1233,1582,8
1539,1368,10
1372,679,10
1409,1580,11
787,1217,11
271,342,10
1526,18,11
780,491,9
760,555,10
1451,755,8
1228,985,9
527,1592,10
441,471,11
774,1335,11
1427,1570,10
1509,666,11
1069,764,10
275,702,8
1658,416,11
742,631,9
541,1358,10
1682,745,11
652,1600,11
626,487,8
764,1582,11
691,239,10
565,1595,11
94,655,11
1286,456,11
294,1350,11
1331,1601,11
1231,1689,11
399,970,10
1239,1311,11
472,1521,11
642,1683,11
739,1371,11
1473,1152,9
602,1397,9
1149,1036,10
774,197,8
248,763,8
1363,1631,10
1354,1224,9
1470,91,10
1009,1538,10
76,445,10
1220,1398,10
743,91,10
613,1099,9
779,1442,9
252,1338,10
741,46,10
1065,493,10
1166,1670,10
325,787,8
850,1334,10
1349,580,8
1219,1202,10
398,238,10
173,233,10
386,1438,10
697,986,10
1134,1687,10
1096,1020,9
1163,1089,10
1000,1053,8
517,267,10
51,675,10
1217,905,8
595,1164,8
411,1445,8
843,203,8
250,211,10
362,1306,10
1350,52,8
738,1628,8
233,44,8
931,123,8
944,971,8
117,1443,10
790,1346,8
1431,861,10
179,554,10
813,268,10
212,552,8
695,1307,10
1661,1467,10
758,995,10
1227,1244,10
1498,1529,10
759,972,10
722,394,8
649,1474,10
1508,830,9
237,1097,9
1480,47,9
1023,817,9
1125,99,9
246,558,9
1578,410,9
424,465,9
1293,1299,8
1006,98,9
149,1658,9
679,905,9
244,897,9
1123,1452,8
317,1243,9
109,1202,8
1326,87,9
1288,653,9
1200,252,9
1487,813,9
1403,37,9
461,1132,9
1360,257,9
468,285,9
777,1152,9
383,1589,8
1211,1508,9
1228,1534,9
471,596,9
160,919,9
1017,299,8
21,236,9
320,65,11
855,49,9
721,324,8
1242,1093,9
491,1540,9
1332,1031,9
709,1083,9
1079,648,9
353,1254,9
1246,1329,9
633,586,9
134,47,9
975,283,9
165,539,9
47,655,9
1385,100,9
1193,564,9
909,1229,8
1484,155,8
1358,115,8
117,1318,8
345,345,8
1103,1147,8
651,1377,8
1493,209,8
284,261,8
1691,361,8
990,349,8
1003,1668,8
1484,618,8
1114,25,8
974,784,8
591,82,8
1142,904,8
1260,1407,8
827,515,8
1329,1291,8
1222,37,8
790,557,8
1168,804,8
512,565,8
1375,44,8
1046,622,8
753,1162,8
1314,1027,8
1500,903,8
1087,407,8
563,219,8
454,1605,8
1125,1043,8
865,769,8
866,588,8
737,1219,8
341,741,10
60,828,11
564,778,10
403,1168,14
378,1194,10
782,1194,10
1198,1204,13
286,1379,10
280,1490,11
154,1485,8
30,1516,8
202,1578,10
285,1520,8
134,1578,8
502,1506,10
907,1468,13
1085,1346,10
488,1301,11
501,1284,10
329,1673,11
308,1641,8
330,1359,8
1144,1656,11
808,1617,11
868,1429,8
931,1612,11
906,1643,11
1462,1206,11
1270,1083,10
1456,1059,8
1464,951,10
1425,954,10
978,421,10
129,513,27
820,451,13
866,534,10
1100,522,8
287,332,9
145,360,8
1093,208,20
1175,62,8
409,583,9
683,13,8
699,372,18
774,341,8
777,358,8
1349,371,13
1514,426,8
745,60,9
790,479,8
1662,50,10
967,397,8
1154,435,8
1347,327,10
1673,195,10
128,840,10
90,852,11
620,847,8
598,922,8
631,964,8
641,908,8
510,891,24
818,717,11
851,660,8
652,1023,13
680,1013,11
444,1065,8
5,721,9
365,658,10
207,771,8
356,1077,8
431,1184,16
1510,786,10
701,1032,10
784,1137,8
887,810,14
878,791,10
1536,728,8
1534,858,11
269,1275,16
297,1285,18
53,1303,11
70,1358,8
226,1400,24
46,1360,8
239,1447,32
182,1413,11
191,1390,14
195,1378,11
352,1446,14
386,1489,8
382,1500,11
381,1515,10
389,1538,13
690,1440,14
615,1318,8
710,1245,8
471,1393,18
472,1355,19
418,1292,10
404,1312,11
409,1247,11
456,1288,8
453,1303,10
546,1548,10
361,1202,8
381,1216,11
603,1558,10
601,1375,8
609,1300,10
605,1242,8
589,1488,8
637,1442,10
669,1416,10
1148,1303,10
1293,1505,8
872,1298,13
1336,1228,10
1283,1430,11
984,1244,14
1143,1191,8
275,1464,16
490,1607,11
139,1643,8
610,1610,14
636,1522,10
679,1639,13
1115,1643,16
1305,1657,18
1464,1629,10
1496,1657,13
162,1576,8
1143,451,8
1061,1654,11
1521,115,8
1696,94,11
1612,140,11
1689,668,32
1616,779,21
1700,506,18
1569,212,16
1559,151,11
1523,696,8
1577,1558,11
1574,940,14
1580,544,13
1548,1305,10
1665,155,13
1531,1334,10
1633,1269,10
1568,870,13
1531,1676,12
1616,880,12
1664,872,12
1513,647,9
1585,255,10
1562,976,12
1589,124,11
1613,1521,10
1691,420,11
1601,1081,11
1623,996,11
1637,1233,9
1698,1422,11
1560,1027,10
1655,1205,9
1564,1658,8
1690,718,8
1642,1356,8
1528,499,8
1523,1397,8
1682,349,8
1620,202,35
1612,265,13
